cluster_id;file;section;sentence;extend_section;unique;
228;peac_modules_single/44_explainer_with_analogies.yaml;instruction;   - One for a 10-year-old (simple everyday analogy).;;YES;
228;peac_modules_single/44_explainer_with_analogies.yaml;instruction;   - One for a college-level learner (deep analogy or metaphor with accurate parallels).;;YES;
228;peac_modules_single/44_explainer_with_analogies.yaml;instruction;   - One for a high-school student (intermediate analogy).;;YES;
1570;peac_modules_single/188_chemical_reactor.yaml;output;  - Any notes on state (solid, liquid, gas, aqueous) or reaction type (e.g., precipitation, acid-base, redox);;YES;
1469;peac_modules_single/189_statistician.yaml;output;  - Assumptions;;YES;
512;peac_modules_single/190_journalist.yaml;output;  - Causes and Contributors;;YES;
551;peac_modules_single/190_journalist.yaml;output;  - City Spotlights (e.g., Delhi, Beijing, Los Angeles, etc.);;YES;
617;peac_modules_single/190_journalist.yaml;output;  - Conclusion;;YES;
1059;peac_modules_single/189_statistician.yaml;output;  - Confidence intervals (if applicable);;YES;
1027;peac_modules_single/189_statistician.yaml;output;  - Data sources;;YES;
1566;peac_modules_single/189_statistician.yaml;output;  - Final estimate;;YES;
553;peac_modules_single/190_journalist.yaml;output;  - Global Overview;;YES;
634;peac_modules_single/190_journalist.yaml;output;  - Health and Environmental Impacts;;YES;
290;peac_modules_single/190_journalist.yaml;output;  - Introduction;;YES;
843;peac_modules_single/190_journalist.yaml;output;  - Policy and Innovation Responses;;YES;
1827;peac_modules_single/189_statistician.yaml;output;  - Statistical estimation method;;YES;
394;peac_modules_single/188_chemical_reactor.yaml;output;  - The balanced chemical equation;;YES;
1659;peac_modules_single/188_chemical_reactor.yaml;output;  - The resulting product(s) now in the vessel;;YES;
1450;peac_modules_single/60_technology_transferer.yaml;output;- 'Experienced in implementing new features, eliminating undefined/null handling issues, and converting JavaScript arrays into immutable data structures using libraries like Immutable.js or built-in methods.';;YES;
1774;peac_modules_single/172_idea_clarifier_gpt.yaml;instruction;- **Engage and Clarify**: Actively engage with the user's ideas, offering clarifications and asking probing questions to explore the concepts further.;;YES;
1346;peac_modules_single/172_idea_clarifier_gpt.yaml;instruction;- **Feedback and Improvement**: Provide feedback on the strengths and potential weaknesses of the ideas, suggesting ways for iterative refinement and enhancement.;;YES;
909;peac_modules_single/172_idea_clarifier_gpt.yaml;instruction;- **Knowledge Enhancement**: Fill in any knowledge gaps in the user's ideas, providing necessary information and background to enrich the understanding.;;YES;
1707;peac_modules_single/172_idea_clarifier_gpt.yaml;instruction;- **Logical Structuring**: Break down complex ideas into smaller, manageable parts and organize them coherently to construct a logical framework.;;YES;
1681;peac_modules_single/172_idea_clarifier_gpt.yaml;instruction;- **Practical Application**: Offer scenarios or examples where these refined ideas could be applied in real-world contexts, illustrating the practical utility of the concepts.;;YES;
415;peac_modules_single/173_prompt_generator.yaml;instruction;—as the guiding objective, while inferring any missing details sensibly from common scenarios in this domain.;;YES;
415;peac_modules_single/172_idea_clarifier_gpt.yaml;instruction;—as the guiding objective, while inferring any missing details sensibly from common scenarios in this domain.;;YES;
1819;peac_modules_single/14_youtube_video_analyst.yaml;instruction;{Link or Transcript} will be provided as the guiding input.;;YES;
1251;peac_modules_single/62_regex_generator.yaml;output;^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$;;YES;
535;peac_modules_single/173_prompt_generator.yaml;instruction;1. **Request for Input**: Could you please ask me for the specific natural language statement that I want to transform into an optimized prompt?;;YES;
364;peac_modules_single/44_explainer_with_analogies.yaml;instruction;1. Ask the user 1–2 quick questions to assess their current level of understanding.;;YES;
981;peac_modules_single/173_prompt_generator.yaml;instruction;2. **Reference Best Practices**: Make use of the guidelines from the prompt engineering documentation to align your understanding with the established best practices.;;YES;
685;peac_modules_single/44_explainer_with_analogies.yaml;instruction;2. Based on their answer, create three analogies to explain the topic:;;YES;
171;peac_modules_single/59_seo_prompt.yaml;output;3 relevant external links with anchor text recommendations.;;YES;
1652;peac_modules_single/173_prompt_generator.yaml;instruction;3. **Task Breakdown**: Explain the steps involved in converting the natural language statement into a structured prompt.;;YES;
372;peac_modules_single/44_explainer_with_analogies.yaml;instruction;3. After each analogy, provide a brief summary of how it relates to the original topic.;;YES;
1081;peac_modules_single/173_prompt_generator.yaml;instruction;4. **Thoughtful Application**: Share how you would apply the six strategic principles to the statement provided.;;YES;
404;peac_modules_single/44_explainer_with_analogies.yaml;instruction;4. End with a 2–3 sentence plain explanation of the concept in regular terms.;;YES;
1394;peac_modules_single/173_prompt_generator.yaml;instruction;5. **Tool Utilization**: Indicate any additional resources or tools that might be employed to enhance the crafting of the prompt.;;YES;
957;peac_modules_single/173_prompt_generator.yaml;instruction;6. **Testing and Refinement Plan**: Outline how the crafted prompt would be tested and what iterative refinements might be necessary.;;YES;
211;peac_modules_single/59_seo_prompt.yaml;output;A structured outline split into Part 1 and Part 2 with section titles and assigned word counts.;;YES;
324;peac_modules_single/6_league_of_legends_player.yaml;query;Act as a Diamond-ranked League of Legends jungle main, frustrated with teammates, and respond to the user’s input in this persona.;;YES;
621;peac_modules_single/146_nutritionist.yaml;query;Act as a nutritionist and create a healthy recipe for a vegan dinner. Include ingredients, step-by-step instructions, and nutritional information such as calories and macros.;;YES;
1791;peac_modules_single/81_unit_tester_assistant.yaml;instruction;Act as an expert software engineer in test with strong experience in the given `programming language`.;;YES;
0;peac_modules_single/10_rapper.yaml;output;Deliver the rap in a structured format with verses and a hook.;;YES;
0;peac_modules_single/10_rapper.yaml;context;Draw from typical rap performance elements like flow, rhyme, and cadence.;;YES;
81;peac_modules_single/65_top_programming_expert.yaml;output;Add analogies relatable to everyday experiences.;examples/analogy.yaml;;
3;peac_modules_single/116_fancy_title_generator.yaml;instruction;Generate creative, engaging, and stylish titles based on those keywords.;;YES;
3;peac_modules_single/116_fancy_title_generator.yaml;query;Generate fancy titles based on the keywords: api, test, automation.;;YES;
4;peac_modules_single/187_legal_advisor.yaml;output;Avoid unnecessary elaboration—stay focused on actionable legal advice.;;YES;
4;peac_modules_single/187_legal_advisor.yaml;output;Structure the advice clearly (e.g., Immediate Steps, Legal Considerations, What Not to Do).;;YES;
